Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,casa_forma_punti,casa_forma_media_punti,casa_forma_gol_fatti,casa_forma_gol_subiti,casa_forma_media_gol_fatti,casa_forma_media_gol_subiti,casa_home_punti,casa_home_media_punti,casa_home_gol_fatti,casa_home_gol_subiti,casa_home_media_gol_fatti,casa_home_media_gol_subiti,trasferta_forma_punti,trasferta_forma_media_punti,trasferta_forma_gol_fatti,trasferta_forma_gol_subiti,trasferta_forma_media_gol_fatti,trasferta_forma_media_gol_subiti,trasferta_away_punti,trasferta_away_media_punti,trasferta_away_gol_fatti,trasferta_away_gol_subiti,trasferta_away_media_gol_fatti,trasferta_away_media_gol_subiti,h2h_vittorie_casa,h2h_vittorie_trasferta,h2h_pareggi,h2h_partite,differenza_forma_punti,differenza_attacco,differenza_difesa,casa_home_vs_trasferta_away_punti
2021-04-17,Sampdoria,Verona,3,1,H,5,1.0,5,8,1.0,1.6,16,1.6,14,15,1.4,1.5,3,0.6,4,8,0.8,1.6,12,1.2,13,13,1.3,1.3,1,0,0,1,0.4,-0.6000000000000001,-0.8,0.40000000000000013
2021-04-17,Sassuolo,Fiorentina,3,1,H,7,1.4,9,9,1.8,1.8,13,1.3,15,17,1.5,1.7,5,1.0,12,11,2.4,2.2,8,0.8,11,19,1.1,1.9,0,0,1,1,0.3999999999999999,-0.40000000000000013,0.5999999999999999,0.5
2021-04-17,Cagliari,Parma,4,3,H,1,0.2,4,10,0.8,2.0,5,0.5,6,17,0.6,1.7,5,1.0,9,10,1.8,2.0,8,0.8,14,20,1.4,2.0,0,0,1,1,-0.8,-1.2,-0.19999999999999996,-0.30000000000000004
2021-04-18,Napoli,Inter,1,1,D,12,2.4,10,5,2.0,1.0,25,2.5,26,8,2.6,0.8,15,3.0,7,2,1.4,0.4,23,2.3,18,8,1.8,0.8,0,1,0,1,-0.6000000000000001,1.6,0.3999999999999999,0.20000000000000018
2021-04-18,Torino,Roma,3,1,H,7,1.4,7,7,1.4,1.4,10,1.0,13,14,1.3,1.4,7,1.4,4,6,0.8,1.2,11,1.1,13,20,1.3,2.0,0,1,0,1,0.0,0.19999999999999996,-0.5999999999999999,-0.10000000000000009
2021-04-18,Lazio,Benevento,5,3,H,12,2.4,8,6,1.6,1.2,24,2.4,18,10,1.8,1.0,5,1.0,5,8,1.0,1.6,12,1.2,8,14,0.8,1.4,0,0,1,1,1.4,0.0,-0.19999999999999996,1.2
2021-04-18,Milan,Genoa,2,1,H,10,2.0,9,5,1.8,1.0,12,1.2,14,16,1.4,1.6,5,1.0,5,7,1.0,1.4,11,1.1,9,13,0.9,1.3,0,0,1,1,1.0,0.40000000000000013,0.0,0.09999999999999987
2021-04-18,Atalanta,Juventus,1,0,H,12,2.4,11,6,2.2,1.2,23,2.3,31,14,3.1,1.4,10,2.0,10,6,2.0,1.2,18,1.8,19,10,1.9,1.0,0,0,1,1,0.3999999999999999,1.0000000000000002,0.8,0.4999999999999998
2021-04-18,Bologna,Spezia,4,1,H,6,1.2,7,8,1.4,1.6,15,1.5,14,14,1.4,1.4,7,1.4,8,9,1.6,1.8,7,0.7,11,23,1.1,2.3,0,0,1,1,-0.19999999999999996,-0.40000000000000013,0.0,0.8
2021-04-20,Verona,Fiorentina,1,2,A,3,0.6,5,9,1.0,1.8,11,1.1,11,14,1.1,1.4,4,0.8,10,11,2.0,2.2,8,0.8,12,20,1.2,2.0,0,0,1,1,-0.20000000000000007,-1.2000000000000002,0.19999999999999996,0.30000000000000004
2021-04-21,Udinese,Cagliari,0,1,A,4,0.8,5,7,1.0,1.4,12,1.2,7,7,0.7,0.7,3,0.6,6,11,1.2,2.2,6,0.6,8,12,0.8,1.2,0,0,1,1,0.20000000000000007,-1.2000000000000002,-0.19999999999999996,0.6
2021-04-21,Spezia,Inter,1,1,D,6,1.2,8,12,1.6,2.4,15,1.5,15,13,1.5,1.3,13,2.6,7,3,1.4,0.6,21,2.1,16,8,1.6,0.8,0,1,0,1,-1.4000000000000001,1.0,-1.0,-0.6000000000000001
2021-04-21,Genoa,Benevento,2,2,D,5,1.0,6,8,1.2,1.6,15,1.5,14,12,1.4,1.2,4,0.8,7,12,1.4,2.4,11,1.1,11,19,1.1,1.9,0,1,0,1,0.19999999999999996,-1.2,-0.20000000000000018,0.3999999999999999
2021-04-21,Juventus,Parma,3,1,H,7,1.4,7,6,1.4,1.2,27,2.7,25,6,2.5,0.6,4,0.8,9,11,1.8,2.2,5,0.5,15,23,1.5,2.3,1,0,0,1,0.5999999999999999,-0.8000000000000003,0.6000000000000001,2.2
2021-04-21,Bologna,Torino,1,1,D,9,1.8,10,6,2.0,1.2,15,1.5,17,15,1.7,1.5,10,2.0,9,6,1.8,1.2,12,1.2,14,16,1.4,1.6,0,0,1,1,-0.19999999999999996,0.8,0.6000000000000001,0.30000000000000004
2021-04-21,Milan,Sassuolo,1,2,A,10,2.0,9,6,1.8,1.2,14,1.4,14,15,1.4,1.5,7,1.4,9,8,1.8,1.6,10,1.0,13,21,1.3,2.1,1,0,0,1,0.6000000000000001,0.19999999999999996,0.6000000000000001,0.3999999999999999
2021-04-21,Crotone,Sampdoria,0,1,A,0,0.0,10,15,2.0,3.0,12,1.2,19,20,1.9,2.0,7,1.4,6,7,1.2,1.4,9,0.9,10,13,1.0,1.3,0,1,0,1,-1.4,0.6000000000000001,-1.8,0.29999999999999993
2021-04-22,Roma,Atalanta,1,1,D,4,0.8,4,9,0.8,1.8,22,2.2,19,12,1.9,1.2,15,3.0,12,5,2.4,1.0,21,2.1,19,8,1.9,0.8,0,1,0,1,-2.2,-0.19999999999999996,0.5999999999999999,0.10000000000000009
2021-04-22,Napoli,Lazio,5,2,H,10,2.0,10,6,2.0,1.2,23,2.3,23,9,2.3,0.9,15,3.0,12,6,2.4,1.2,14,1.4,13,14,1.3,1.4,0,1,0,1,-1.0,0.8,1.2,0.8999999999999999
2021-04-24,Genoa,Spezia,2,0,H,5,1.0,7,9,1.4,1.8,16,1.6,15,11,1.5,1.1,7,1.4,8,10,1.6,2.0,7,0.7,11,23,1.1,2.3,1,0,0,1,-0.3999999999999999,-0.6000000000000001,-0.19999999999999996,0.9000000000000001
2021-04-24,Parma,Crotone,3,4,A,1,0.2,8,14,1.6,2.8,4,0.4,7,23,0.7,2.3,0,0.0,8,13,1.6,2.6,0,0.0,13,35,1.3,3.5,0,1,0,1,0.2,-1.0,-1.1999999999999997,0.4
2021-04-24,Sassuolo,Sampdoria,1,0,H,10,2.0,9,6,1.8,1.2,16,1.6,18,15,1.8,1.5,10,2.0,6,4,1.2,0.8,12,1.2,10,11,1.0,1.1,1,0,0,1,0.0,1.0,0.0,0.40000000000000013
2021-04-25,Benevento,Udinese,2,4,A,5,1.0,8,10,1.6,2.0,7,0.7,9,19,0.9,1.9,3,0.6,4,7,0.8,1.4,10,1.0,13,19,1.3,1.9,1,0,0,1,0.4,0.20000000000000018,-1.2,-0.30000000000000004
2021-04-25,Fiorentina,Juventus,1,1,D,4,0.8,8,11,1.6,2.2,12,1.2,15,15,1.5,1.5,10,2.0,10,6,2.0,1.2,17,1.7,18,10,1.8,1.0,1,0,0,1,-1.2,0.40000000000000013,-0.20000000000000018,-0.5
2021-04-25,Inter,Verona,1,0,H,11,2.2,6,3,1.2,0.6,30,3.0,25,5,2.5,0.5,3,0.6,4,8,0.8,1.6,11,1.1,13,15,1.3,1.5,1,0,0,1,1.6,-0.40000000000000013,0.20000000000000007,1.9
2021-04-25,Cagliari,Roma,3,2,H,6,1.2,6,8,1.2,1.6,7,0.7,9,19,0.9,1.9,5,1.0,5,8,1.0,1.6,11,1.1,14,19,1.4,1.9,0,1,0,1,0.19999999999999996,-0.40000000000000013,-0.6000000000000001,-0.40000000000000013
2021-04-25,Atalanta,Bologna,5,0,H,13,2.6,10,5,2.0,1.0,23,2.3,28,13,2.8,1.3,7,1.4,8,6,1.6,1.2,9,0.9,9,13,0.9,1.3,0,0,1,1,1.2000000000000002,0.8,0.6000000000000001,1.4
2021-04-26,Torino,Napoli,0,2,A,8,1.6,7,5,1.4,1.0,12,1.2,14,13,1.4,1.3,10,2.0,13,8,2.6,1.6,16,1.6,19,16,1.9,1.6,0,0,1,1,-0.3999999999999999,-0.20000000000000018,1.6,-0.40000000000000013
2021-04-26,Lazio,Milan,3,0,H,12,2.4,11,9,2.2,1.8,27,2.7,22,10,2.2,1.0,10,2.0,10,7,2.0,1.4,25,2.5,20,10,2.0,1.0,0,1,0,1,0.3999999999999999,0.8000000000000003,0.19999999999999996,0.20000000000000018
