Data,Partita,Casa,Ospite,Risultato_Reale,Predizione,Corretto,Prob_Casa,Prob_X,Prob_Ospite,Prob_Predizione,Confidenza,N_Partite_Dataset
2025-10-18,Torino vs Napoli,Torino,Napoli,H,D,False,0.346,0.368,0.286,0.368,0.368,2507
2025-10-18,Lecce vs Sassuolo,Lecce,Sassuolo,D,H,False,0.403,0.367,0.23,0.403,0.403,2507
2025-10-18,Roma vs Inter,Roma,Inter,A,H,False,0.528,0.28,0.192,0.528,0.528,2507
2025-10-19,Milan vs Fiorentina,Milan,Fiorentina,H,H,True,0.551,0.302,0.147,0.551,0.551,2510
2025-10-19,Como vs Juventus,Como,Juventus,H,D,False,0.36,0.38,0.26,0.38,0.38,2510
2025-10-19,Cagliari vs Bologna,Cagliari,Bologna,A,H,False,0.465,0.342,0.193,0.465,0.465,2510
2025-10-19,Genoa vs Parma,Genoa,Parma,D,H,False,0.408,0.403,0.189,0.408,0.408,2510
2025-10-19,Atalanta vs Lazio,Atalanta,Lazio,D,H,False,0.419,0.314,0.266,0.419,0.419,2510
2025-10-20,Cremonese vs Udinese,Cremonese,Udinese,D,H,False,0.449,0.338,0.213,0.449,0.449,2515
2025-10-25,Parma vs Como,Parma,Como,D,D,True,0.324,0.362,0.314,0.362,0.362,2516
2025-10-25,Udinese vs Lecce,Udinese,Lecce,H,D,False,0.369,0.406,0.225,0.406,0.406,2516
2025-10-25,Napoli vs Inter,Napoli,Inter,H,H,True,0.469,0.307,0.224,0.469,0.469,2516
2025-10-25,Cremonese vs Atalanta,Cremonese,Atalanta,D,A,False,0.286,0.335,0.378,0.378,0.378,2516
2025-10-26,Verona vs Cagliari,Verona,Cagliari,D,D,True,0.402,0.413,0.185,0.413,0.413,2520
2025-10-26,Fiorentina vs Bologna,Fiorentina,Bologna,D,H,False,0.504,0.321,0.174,0.504,0.504,2520
2025-10-26,Torino vs Genoa,Torino,Genoa,H,H,True,0.466,0.388,0.147,0.466,0.466,2520
2025-10-26,Sassuolo vs Roma,Sassuolo,Roma,A,H,False,0.349,0.315,0.336,0.349,0.349,2520
2025-10-26,Lazio vs Juventus,Lazio,Juventus,H,D,False,0.376,0.397,0.227,0.397,0.397,2520
2025-10-28,Lecce vs Napoli,Lecce,Napoli,A,D,False,0.293,0.354,0.352,0.354,0.354,2525
2025-10-28,Atalanta vs Milan,Atalanta,Milan,D,H,False,0.381,0.307,0.313,0.381,0.381,2525
2025-10-29,Inter vs Fiorentina,Inter,Fiorentina,H,H,True,0.594,0.264,0.142,0.594,0.594,2527
2025-10-29,Genoa vs Cremonese,Genoa,Cremonese,A,D,False,0.342,0.423,0.235,0.423,0.423,2527
2025-10-29,Bologna vs Torino,Bologna,Torino,D,H,False,0.526,0.328,0.145,0.526,0.526,2527
2025-10-29,Juventus vs Udinese,Juventus,Udinese,H,H,True,0.575,0.282,0.143,0.575,0.575,2527
2025-10-29,Como vs Verona,Como,Verona,H,H,True,0.462,0.373,0.165,0.462,0.462,2527
2025-10-29,Roma vs Parma,Roma,Parma,H,H,True,0.543,0.314,0.143,0.543,0.543,2527
2025-10-30,Cagliari vs Sassuolo,Cagliari,Sassuolo,A,H,False,0.455,0.354,0.191,0.455,0.455,2533
2025-11-01,Cremonese vs Juventus,Cremonese,Juventus,A,D,False,0.36,0.391,0.249,0.391,0.391,2534
2025-11-01,Udinese vs Atalanta,Udinese,Atalanta,H,A,False,0.292,0.347,0.361,0.361,0.361,2534
2025-11-01,Napoli vs Como,Napoli,Como,D,H,False,0.504,0.323,0.173,0.504,0.504,2534
2025-11-02,Parma vs Bologna,Parma,Bologna,A,H,False,0.404,0.397,0.2,0.404,0.404,2537
2025-11-02,Milan vs Roma,Milan,Roma,H,H,True,0.457,0.287,0.256,0.457,0.457,2537
2025-11-02,Verona vs Inter,Verona,Inter,A,D,False,0.265,0.369,0.365,0.369,0.369,2537
2025-11-02,Fiorentina vs Lecce,Fiorentina,Lecce,A,H,False,0.483,0.348,0.169,0.483,0.483,2537
2025-11-03,Lazio vs Cagliari,Lazio,Cagliari,H,H,True,0.466,0.387,0.147,0.466,0.466,2541
2025-11-03,Sassuolo vs Genoa,Sassuolo,Genoa,A,H,False,0.47,0.382,0.148,0.47,0.47,2541
2025-11-07,Pisa vs Cremonese,Pisa,Cremonese,H,H,True,0.401,0.37,0.229,0.401,0.401,2543
2025-11-08,Como vs Cagliari,Como,Cagliari,D,H,False,0.493,0.358,0.149,0.493,0.493,2544
2025-11-08,Lecce vs Verona,Lecce,Verona,D,H,False,0.394,0.389,0.217,0.394,0.394,2544
2025-11-08,Juventus vs Torino,Juventus,Torino,D,H,False,0.567,0.294,0.139,0.567,0.567,2544
2025-11-08,Parma vs Milan,Parma,Milan,D,A,False,0.281,0.344,0.375,0.375,0.375,2544
2025-11-09,Roma vs Udinese,Roma,Udinese,H,H,True,0.591,0.266,0.143,0.591,0.591,2548
2025-11-09,Genoa vs Fiorentina,Genoa,Fiorentina,D,H,False,0.394,0.375,0.231,0.394,0.394,2548
2025-11-09,Inter vs Lazio,Inter,Lazio,H,H,True,0.563,0.259,0.177,0.563,0.563,2548
2025-11-09,Atalanta vs Sassuolo,Atalanta,Sassuolo,A,H,False,0.481,0.352,0.167,0.481,0.481,2548
2025-11-09,Bologna vs Napoli,Bologna,Napoli,H,H,True,0.411,0.338,0.251,0.411,0.411,2548
2025-11-22,Cagliari vs Genoa,Cagliari,Genoa,D,H,False,0.451,0.37,0.179,0.451,0.451,2553
