Data,Partita,Casa,Ospite,Risultato_Reale,Predizione,Corretto,Prob_Casa,Prob_X,Prob_Ospite,Prob_Predizione,Confidenza,N_Partite_Dataset
2026-02-15,Udinese vs Sassuolo,Udinese,Sassuolo,A,H,False,0.402,0.367,0.231,0.402,0.402,2686
2026-02-16,Cagliari vs Lecce,Cagliari,Lecce,A,H,False,0.461,0.328,0.211,0.461,0.461,2691
2026-02-18,Milan vs Como,Milan,Como,D,H,False,0.457,0.334,0.209,0.457,0.457,2692
2026-02-20,Sassuolo vs Verona,Sassuolo,Verona,H,H,True,0.466,0.379,0.154,0.466,0.466,2693
2026-02-21,Juventus vs Como,Juventus,Como,A,H,False,0.445,0.375,0.18,0.445,0.445,2694
2026-02-21,Lecce vs Inter,Lecce,Inter,A,A,True,0.256,0.293,0.452,0.452,0.452,2694
2026-02-21,Cagliari vs Lazio,Cagliari,Lazio,D,H,False,0.386,0.336,0.278,0.386,0.386,2694
2026-02-22,Roma vs Cremonese,Roma,Cremonese,H,H,True,0.578,0.273,0.149,0.578,0.578,2697
2026-02-22,Milan vs Parma,Milan,Parma,A,H,False,0.508,0.343,0.149,0.508,0.508,2697
2026-02-22,Genoa vs Torino,Genoa,Torino,H,H,True,0.41,0.401,0.189,0.41,0.41,2697
2026-02-22,Atalanta vs Napoli,Atalanta,Napoli,H,H,True,0.469,0.28,0.251,0.469,0.469,2697
2026-02-23,Fiorentina vs Pisa,Fiorentina,Pisa,H,D,False,0.379,0.472,0.149,0.472,0.472,2701
2026-02-23,Bologna vs Udinese,Bologna,Udinese,H,H,True,0.452,0.333,0.215,0.452,0.452,2701
2026-02-27,Parma vs Cagliari,Parma,Cagliari,D,H,False,0.423,0.389,0.188,0.423,0.423,2703
2026-02-28,Como vs Lecce,Como,Lecce,H,H,True,0.457,0.338,0.205,0.457,0.457,2704
2026-02-28,Verona vs Napoli,Verona,Napoli,A,A,True,0.306,0.3,0.394,0.394,0.394,2704
2026-02-28,Inter vs Genoa,Inter,Genoa,H,H,True,0.595,0.268,0.137,0.595,0.595,2704
2026-03-01,Torino vs Lazio,Torino,Lazio,H,H,True,0.425,0.329,0.246,0.425,0.425,2707
2026-03-01,Roma vs Juventus,Roma,Juventus,D,H,False,0.531,0.267,0.202,0.531,0.531,2707
2026-03-01,Sassuolo vs Atalanta,Sassuolo,Atalanta,H,H,True,0.357,0.349,0.294,0.357,0.357,2707
2026-03-01,Cremonese vs Milan,Cremonese,Milan,A,A,True,0.218,0.381,0.401,0.401,0.401,2707
2026-03-02,Pisa vs Bologna,Pisa,Bologna,A,D,False,0.297,0.356,0.346,0.356,0.356,2711
2026-03-02,Udinese vs Fiorentina,Udinese,Fiorentina,H,H,True,0.452,0.351,0.197,0.452,0.452,2711
2026-03-06,Napoli vs Torino,Napoli,Torino,H,H,True,0.527,0.33,0.143,0.527,0.527,2713
2026-03-07,Cagliari vs Como,Cagliari,Como,A,D,False,0.321,0.363,0.316,0.363,0.363,2714
2026-03-07,Atalanta vs Udinese,Atalanta,Udinese,D,H,False,0.591,0.262,0.147,0.591,0.591,2714
2026-03-07,Juventus vs Pisa,Juventus,Pisa,H,H,True,0.482,0.377,0.142,0.482,0.482,2714
2026-03-08,Genoa vs Roma,Genoa,Roma,H,H,True,0.4,0.326,0.273,0.4,0.4,2717
2026-03-08,Fiorentina vs Parma,Fiorentina,Parma,D,H,False,0.39,0.377,0.233,0.39,0.39,2717
2026-03-08,Milan vs Inter,Milan,Inter,H,H,True,0.381,0.29,0.329,0.381,0.381,2717
2026-03-08,Lecce vs Cremonese,Lecce,Cremonese,H,H,True,0.414,0.349,0.238,0.414,0.414,2717
2026-03-08,Bologna vs Verona,Bologna,Verona,A,H,False,0.475,0.375,0.15,0.475,0.475,2717
2026-03-09,Lazio vs Sassuolo,Lazio,Sassuolo,H,H,True,0.479,0.337,0.185,0.479,0.479,2722
2026-03-13,Torino vs Parma,Torino,Parma,H,H,True,0.419,0.334,0.247,0.419,0.419,2723
2026-03-14,Inter vs Atalanta,Inter,Atalanta,D,H,False,0.579,0.272,0.148,0.579,0.579,2724
2026-03-14,Napoli vs Lecce,Napoli,Lecce,H,H,True,0.544,0.309,0.147,0.544,0.544,2724
2026-03-14,Udinese vs Juventus,Udinese,Juventus,A,H,False,0.364,0.331,0.305,0.364,0.364,2724
2026-03-15,Lazio vs Milan,Lazio,Milan,H,H,True,0.378,0.322,0.3,0.378,0.378,2727
2026-03-15,Sassuolo vs Bologna,Sassuolo,Bologna,A,H,False,0.406,0.35,0.244,0.406,0.406,2727
2026-03-15,Como vs Roma,Como,Roma,H,H,True,0.433,0.333,0.234,0.433,0.433,2727
2026-03-15,Verona vs Genoa,Verona,Genoa,A,H,False,0.406,0.401,0.194,0.406,0.406,2727
2026-03-15,Pisa vs Cagliari,Pisa,Cagliari,H,D,False,0.368,0.384,0.249,0.384,0.384,2727
2026-03-16,Cremonese vs Fiorentina,Cremonese,Fiorentina,A,D,False,0.338,0.396,0.265,0.396,0.396,2732
2026-03-20,Cagliari vs Napoli,Cagliari,Napoli,A,A,True,0.338,0.306,0.356,0.356,0.356,2733
2026-03-20,Genoa vs Udinese,Genoa,Udinese,A,H,False,0.468,0.331,0.201,0.468,0.468,2733
2026-03-21,Parma vs Cremonese,Parma,Cremonese,A,H,False,0.417,0.364,0.219,0.417,0.417,2735
2026-03-21,Milan vs Torino,Milan,Torino,H,H,True,0.537,0.32,0.143,0.537,0.537,2735
2026-03-21,Juventus vs Sassuolo,Juventus,Sassuolo,D,H,False,0.549,0.303,0.148,0.549,0.549,2735
2026-03-22,Roma vs Lecce,Roma,Lecce,H,H,True,0.582,0.273,0.146,0.582,0.582,2738
2026-03-22,Bologna vs Lazio,Bologna,Lazio,A,H,False,0.415,0.347,0.239,0.415,0.415,2738
2026-03-22,Fiorentina vs Inter,Fiorentina,Inter,D,A,False,0.297,0.301,0.402,0.402,0.402,2738
2026-03-22,Como vs Pisa,Como,Pisa,H,H,True,0.458,0.396,0.146,0.458,0.458,2738
2026-03-22,Atalanta vs Verona,Atalanta,Verona,H,H,True,0.571,0.287,0.143,0.571,0.571,2738
2026-04-04,Lazio vs Parma,Lazio,Parma,D,H,False,0.456,0.348,0.196,0.456,0.456,2743
2026-04-04,Sassuolo vs Cagliari,Sassuolo,Cagliari,H,H,True,0.481,0.366,0.152,0.481,0.481,2743
2026-04-04,Verona vs Fiorentina,Verona,Fiorentina,A,H,False,0.389,0.334,0.277,0.389,0.389,2743
2026-04-05,Cremonese vs Bologna,Cremonese,Bologna,A,D,False,0.284,0.366,0.35,0.366,0.366,2746
2026-04-05,Pisa vs Torino,Pisa,Torino,A,H,False,0.389,0.353,0.257,0.389,0.389,2746
2026-04-05,Inter vs Roma,Inter,Roma,H,H,True,0.599,0.255,0.145,0.599,0.599,2746
2026-04-06,Udinese vs Como,Udinese,Como,D,A,False,0.297,0.35,0.353,0.353,0.353,2749
2026-04-06,Lecce vs Atalanta,Lecce,Atalanta,A,H,False,0.363,0.34,0.297,0.363,0.363,2749
2026-04-06,Juventus vs Genoa,Juventus,Genoa,H,H,True,0.518,0.339,0.143,0.518,0.518,2749
2026-04-06,Napoli vs Milan,Napoli,Milan,H,H,True,0.423,0.315,0.262,0.423,0.423,2749
2026-04-10,Roma vs Pisa,Roma,Pisa,H,H,True,0.534,0.325,0.141,0.534,0.534,2753
2026-04-11,Atalanta vs Juventus,Atalanta,Juventus,A,H,False,0.52,0.283,0.197,0.52,0.52,2754
2026-04-11,Milan vs Udinese,Milan,Udinese,A,H,False,0.548,0.303,0.149,0.548,0.548,2754
2026-04-11,Torino vs Verona,Torino,Verona,H,H,True,0.508,0.327,0.165,0.508,0.508,2754
2026-04-11,Cagliari vs Cremonese,Cagliari,Cremonese,H,H,True,0.409,0.35,0.241,0.409,0.409,2754
2026-04-12,Genoa vs Sassuolo,Genoa,Sassuolo,H,H,True,0.453,0.337,0.21,0.453,0.453,2758
2026-04-12,Parma vs Napoli,Parma,Napoli,D,A,False,0.293,0.31,0.397,0.397,0.397,2758
2026-04-12,Bologna vs Lecce,Bologna,Lecce,H,H,True,0.444,0.339,0.217,0.444,0.444,2758
2026-04-12,Como vs Inter,Como,Inter,A,A,True,0.326,0.302,0.372,0.372,0.372,2758
2026-04-13,Fiorentina vs Lazio,Fiorentina,Lazio,H,H,True,0.399,0.372,0.229,0.399,0.399,2762
2026-04-17,Inter vs Cagliari,Inter,Cagliari,H,H,True,0.607,0.255,0.138,0.607,0.607,2763
2026-04-17,Sassuolo vs Como,Sassuolo,Como,H,H,True,0.356,0.327,0.317,0.356,0.356,2763
2026-04-18,Roma vs Atalanta,Roma,Atalanta,D,H,False,0.515,0.299,0.186,0.515,0.515,2765
2026-04-18,Napoli vs Lazio,Napoli,Lazio,A,H,False,0.537,0.313,0.15,0.537,0.537,2765
2026-04-18,Udinese vs Parma,Udinese,Parma,A,D,False,0.367,0.395,0.239,0.395,0.395,2765
2026-04-19,Verona vs Milan,Verona,Milan,A,A,True,0.289,0.291,0.421,0.421,0.421,2768
2026-04-19,Cremonese vs Torino,Cremonese,Torino,D,D,True,0.342,0.377,0.281,0.377,0.377,2768
2026-04-19,Juventus vs Bologna,Juventus,Bologna,H,H,True,0.526,0.314,0.16,0.526,0.526,2768
2026-04-19,Pisa vs Genoa,Pisa,Genoa,A,D,False,0.356,0.397,0.247,0.397,0.397,2768
2026-04-20,Lecce vs Fiorentina,Lecce,Fiorentina,D,H,False,0.42,0.316,0.264,0.42,0.42,2772
2026-04-24,Napoli vs Cremonese,Napoli,Cremonese,H,H,True,0.553,0.3,0.147,0.553,0.553,2773
2026-04-25,Parma vs Pisa,Parma,Pisa,H,D,False,0.407,0.422,0.171,0.422,0.422,2774
2026-04-25,Bologna vs Roma,Bologna,Roma,A,H,False,0.454,0.314,0.232,0.454,0.454,2774
2026-04-25,Verona vs Lecce,Verona,Lecce,D,H,False,0.417,0.339,0.243,0.417,0.417,2774
2026-04-26,Milan vs Juventus,Milan,Juventus,D,H,False,0.441,0.306,0.253,0.441,0.441,2777
2026-04-26,Fiorentina vs Sassuolo,Fiorentina,Sassuolo,D,H,False,0.468,0.367,0.165,0.468,0.468,2777
2026-04-26,Genoa vs Como,Genoa,Como,A,H,False,0.363,0.334,0.302,0.363,0.363,2777
2026-04-26,Torino vs Inter,Torino,Inter,D,A,False,0.346,0.268,0.386,0.386,0.386,2777
2026-04-27,Cagliari vs Atalanta,Cagliari,Atalanta,H,H,True,0.363,0.334,0.303,0.363,0.363,2781
2026-04-27,Lazio vs Udinese,Lazio,Udinese,D,H,False,0.469,0.328,0.203,0.469,0.469,2781
2026-05-01,Pisa vs Lecce,Pisa,Lecce,A,H,False,0.375,0.354,0.27,0.375,0.375,2783
2026-05-02,Udinese vs Torino,Udinese,Torino,H,H,True,0.417,0.375,0.207,0.417,0.417,2784
2026-05-02,Como vs Napoli,Como,Napoli,D,H,False,0.362,0.317,0.321,0.362,0.362,2784
2026-05-02,Atalanta vs Genoa,Atalanta,Genoa,D,H,False,0.561,0.295,0.144,0.561,0.561,2784
2026-05-03,Inter vs Parma,Inter,Parma,H,H,True,0.565,0.291,0.143,0.565,0.565,2787
2026-05-03,Juventus vs Verona,Juventus,Verona,D,H,False,0.568,0.292,0.141,0.568,0.568,2787
2026-05-03,Bologna vs Cagliari,Bologna,Cagliari,D,H,False,0.485,0.349,0.166,0.485,0.485,2787
2026-05-03,Sassuolo vs Milan,Sassuolo,Milan,H,H,True,0.362,0.297,0.341,0.362,0.362,2787
2026-05-04,Cremonese vs Lazio,Cremonese,Lazio,A,D,False,0.274,0.381,0.345,0.381,0.381,2791
2026-05-04,Roma vs Fiorentina,Roma,Fiorentina,H,H,True,0.561,0.292,0.147,0.561,0.561,2791
2026-05-08,Torino vs Sassuolo,Torino,Sassuolo,H,H,True,0.489,0.343,0.168,0.489,0.489,2793
2026-05-09,Cagliari vs Udinese,Cagliari,Udinese,A,H,False,0.441,0.327,0.232,0.441,0.441,2794
2026-05-09,Lazio vs Inter,Lazio,Inter,A,H,False,0.353,0.323,0.324,0.353,0.353,2794
2026-05-09,Lecce vs Juventus,Lecce,Juventus,A,A,True,0.317,0.327,0.355,0.355,0.355,2794
2026-05-10,Milan vs Atalanta,Milan,Atalanta,A,H,False,0.422,0.349,0.229,0.422,0.422,2797
2026-05-10,Parma vs Roma,Parma,Roma,A,H,False,0.394,0.336,0.27,0.394,0.394,2797
2026-05-10,Verona vs Como,Verona,Como,A,A,True,0.253,0.342,0.405,0.405,0.405,2797
2026-05-10,Cremonese vs Pisa,Cremonese,Pisa,H,D,False,0.341,0.464,0.196,0.464,0.464,2797
2026-05-10,Fiorentina vs Genoa,Fiorentina,Genoa,D,H,False,0.457,0.396,0.147,0.457,0.457,2797
2026-05-11,Napoli vs Bologna,Napoli,Bologna,A,H,False,0.528,0.311,0.161,0.528,0.528,2802
2026-05-17,Cagliari vs Torino,Cagliari,Torino,H,H,True,0.481,0.331,0.188,0.481,0.481,2803
2026-05-17,Atalanta vs Bologna,Atalanta,Bologna,A,H,False,0.512,0.291,0.198,0.512,0.512,2803
2026-05-17,Inter vs Verona,Inter,Verona,D,H,False,0.61,0.254,0.136,0.61,0.61,2803
2026-05-17,Pisa vs Napoli,Pisa,Napoli,A,A,True,0.243,0.317,0.439,0.439,0.439,2803
2026-05-17,Roma vs Lazio,Roma,Lazio,H,H,True,0.531,0.309,0.16,0.531,0.531,2803
2026-05-17,Como vs Parma,Como,Parma,H,H,True,0.409,0.366,0.224,0.409,0.409,2803
2026-05-17,Juventus vs Fiorentina,Juventus,Fiorentina,A,H,False,0.533,0.318,0.149,0.533,0.533,2803
2026-05-17,Genoa vs Milan,Genoa,Milan,A,H,False,0.365,0.302,0.334,0.365,0.365,2803
2026-05-17,Sassuolo vs Lecce,Sassuolo,Lecce,A,H,False,0.512,0.31,0.178,0.512,0.512,2803
2026-05-17,Udinese vs Cremonese,Udinese,Cremonese,A,H,False,0.409,0.377,0.214,0.409,0.409,2803
