Data,Partita,Mercato,Quota_Sistema,Quota_Sisal,EV_Modello,EV_Realistico,Stake,Risultato,Profit,Note
2026-02-14,Como vs Fiorentina,X2,2.1,2.1,+22.3%,6.4,2.0,PENDING,0.0,
2026-02-15,Udinese vs Sassuolo,1X,1.36,1.36,+20.5%,+5.9%,0.0,PENDING,0.0,DOUBLE CHANCE - EV 20.5% | Quota aggiornata: 1.5 → 1.36
2026-02-15,Parma vs Verona,1X,1.3,1.3,+23.4%,+6.7%,0.0,PENDING,0.0,DOUBLE CHANCE - EV 23.4% | Quota aggiornata: 1.45 → 1.30
