group_id,bet_number,tipo_bet,Data,Partita,Mercato,Quota_Sistema,Quota_Sisal,EV_Modello,EV_Realistico,Stake,Risultato,Profit,Note
,1,SINGLE,2026-02-14,Como vs Fiorentina,X2,2.1,2.1,+22.3%,6.4,2.0,PENDING,0.0,
,1,SINGLE,2026-02-15,Udinese vs Sassuolo,1X,1.36,1.36,+20.5%,+5.9%,0.0,PENDING,0.0,DOUBLE CHANCE - EV 20.5% | Quota aggiornata: 1.5 → 1.36
,1,SINGLE,2026-02-15,Parma vs Verona,1X,1.3,1.3,+23.4%,+6.7%,0.0,PENDING,0.0,DOUBLE CHANCE - EV 23.4% | Quota aggiornata: 1.45 → 1.30
,1,SINGLE,2026-02-09,Roma vs Cagliari,Over/Under 2.5 - Over 2.5,2.1,2.1,+17.7%,,10.0,LOSS,-10.0,Partita finita 2-0 (Under 2.5)
,1,SINGLE,2026-02-15,Cremonese vs Genoa,Pareggio,2.97,2.97,+28.4%,,10.0,PENDING,0.0,Auto-generato 2026-02-12 21:26
,1,SINGLE,2026-02-15,Parma vs Verona,Over/Under 2.5 - Over 2.5,2.48,2.48,+25.4%,,10.0,PENDING,0.0,Auto-generato 2026-02-12 21:26
,1,SINGLE,2026-02-15,Parma vs Verona,Double Chance - 1X,1.45,1.45,+23.1%,,10.0,PENDING,0.0,Auto-generato 2026-02-12 21:26
,1,SINGLE,2026-02-15,Napoli vs Roma,Double Chance - 1X,1.44,1.44,+17.7%,,10.0,PENDING,0.0,Auto-generato 2026-02-12 21:26
