date,match,won,odds,prob,ev,stake,profit,bankroll,cumsum,peak,dd
2024-08-18,Cagliari vs Roma,True,3.4,0.387,31.58000000000001,50.0,120.0,1120.0,120.0,120.0,0.0
2024-08-18,Bologna vs Udinese,True,3.4,0.387,31.58000000000001,56.0,134.4,1254.4,254.4,254.4,0.0
2024-08-25,Napoli vs Bologna,False,3.5,0.387,35.45,62.720000000000006,-62.720000000000006,1191.68,191.68,254.4,-62.72
2024-08-26,Cagliari vs Como,True,3.4,0.387,31.58000000000001,59.584,143.0016,1334.6816000000001,334.6816,334.6816,0.0
2024-08-30,Venezia vs Torino,False,3.3,0.387,27.70999999999999,66.73408,-66.73408,1267.9475200000002,267.94752,334.6816,-66.73408
2024-08-31,Lazio vs Milan,True,3.4,0.387,31.58000000000001,63.39737600000001,152.15370240000001,1420.1012224,420.1012224,420.1012224,0.0
2024-09-01,Udinese vs Como,False,3.4,0.387,31.58000000000001,71.00506112000001,-71.00506112000001,1349.0961612800002,349.09616128,420.1012224,-71.00506112
2024-09-01,Genoa vs Verona,False,3.3,0.387,27.70999999999999,67.454808064,-67.454808064,1281.6413532160002,281.64135321599997,420.1012224,-138.459869184
2024-09-14,Como vs Bologna,True,3.25,0.387,25.775000000000013,64.0820676608,144.18465223680002,1425.8260054528002,425.8260054528,425.8260054528,0.0
2024-09-15,Genoa vs Roma,True,3.3,0.387,27.70999999999999,71.29130027264002,163.96999062707204,1589.7959960798723,589.7959960798721,589.7959960798721,0.0
2024-09-15,Torino vs Lecce,True,3.5,0.387,35.45,79.48979980399362,198.72449950998404,1788.5204955898564,788.5204955898562,788.5204955898562,0.0
2024-09-16,Parma vs Udinese,False,3.4,0.387,31.58000000000001,89.42602477949282,-89.42602477949282,1699.0944708103636,699.0944708103634,788.5204955898562,-89.42602477949276
2024-09-20,Cagliari vs Empoli,False,3.4,0.387,31.58000000000001,84.95472354051819,-84.95472354051819,1614.1397472698454,614.1397472698452,788.5204955898562,-174.38074832001098
2024-09-21,Juventus vs Napoli,True,3.4,0.387,31.58000000000001,80.70698736349227,193.69676967238146,1807.8365169422268,807.8365169422267,807.8365169422267,0.0
2024-09-21,Lecce vs Parma,True,3.5,0.387,35.45,90.39182584711135,225.97956461777838,2033.8160815600052,1033.8160815600052,1033.8160815600052,0.0
2024-09-22,Fiorentina vs Lazio,False,3.4,0.387,31.58000000000001,101.69080407800027,-101.69080407800027,1932.125277482005,932.1252774820049,1033.8160815600052,-101.69080407800027
2024-09-28,Genoa vs Juventus,False,3.5,0.387,35.45,96.60626387410025,-96.60626387410025,1835.5190136079048,835.5190136079046,1033.8160815600052,-198.29706795210052
2024-09-28,Bologna vs Atalanta,True,3.3,0.387,27.70999999999999,91.77595068039524,211.08468656490905,2046.603700172814,1046.6037001728137,1046.6037001728137,0.0
2024-09-29,Como vs Verona,False,3.4,0.387,31.58000000000001,102.3301850086407,-102.3301850086407,1944.2735151641732,944.273515164173,1046.6037001728137,-102.33018500864068
2024-09-29,Empoli vs Fiorentina,True,3.3,0.387,27.70999999999999,97.21367575820867,223.59145424387992,2167.864969408053,1167.864969408053,1167.864969408053,0.0
2024-10-05,Udinese vs Lecce,False,3.3,0.387,27.70999999999999,108.39324847040267,-108.39324847040267,2059.4717209376504,1059.4717209376504,1167.864969408053,-108.39324847040257
2024-10-06,Monza vs Roma,True,3.4,0.387,31.58000000000001,102.97358604688253,247.13660651251806,2306.6083274501684,1306.6083274501684,1306.6083274501684,0.0
2024-10-19,Juventus vs Lazio,False,3.3,0.387,27.70999999999999,115.33041637250842,-115.33041637250842,2191.27791107766,1191.27791107766,1306.6083274501684,-115.33041637250835
2024-10-20,Empoli vs Napoli,False,3.5,0.387,35.45,109.56389555388301,-109.56389555388301,2081.714015523777,1081.714015523777,1306.6083274501684,-224.8943119263913
2024-10-20,Lecce vs Fiorentina,False,3.3,0.387,27.70999999999999,104.08570077618886,-104.08570077618886,1977.6283147475883,977.6283147475882,1306.6083274501684,-328.9800127025802
2024-10-25,Udinese vs Cagliari,False,3.3,0.387,27.70999999999999,98.88141573737943,-98.88141573737943,1878.7468990102088,878.7468990102088,1306.6083274501684,-427.8614284399596
2024-10-27,Parma vs Empoli,True,3.3,0.387,27.70999999999999,93.93734495051045,216.055893386174,2094.8027923963828,1094.8027923963828,1306.6083274501684,-211.80553505378566
2024-10-27,Monza vs Venezia,True,3.25,0.387,25.775000000000013,104.74013961981915,235.66531414459308,2330.468106540976,1330.468106540976,1330.468106540976,0.0
2024-10-27,Inter vs Juventus,True,3.5,0.387,35.45,116.5234053270488,291.308513317622,2621.7766198585978,1621.7766198585978,1621.7766198585978,0.0
2024-10-27,Fiorentina vs Roma,False,3.4,0.387,31.58000000000001,131.0888309929299,-131.0888309929299,2490.6877888656677,1490.687788865668,1621.7766198585978,-131.08883099292984
2024-10-29,Milan vs Napoli,False,3.4,0.387,31.58000000000001,124.53438944328339,-124.53438944328339,2366.153399422384,1366.1533994223846,1621.7766198585978,-255.62322043621316
2024-10-29,Cagliari vs Bologna,False,3.25,0.387,25.775000000000013,118.30766997111921,-118.30766997111921,2247.845729451265,1247.8457294512655,1621.7766198585978,-373.9308904073323
2024-10-29,Lecce vs Verona,False,3.25,0.387,25.775000000000013,112.39228647256326,-112.39228647256326,2135.453442978702,1135.4534429787022,1621.7766198585978,-486.3231768798955
2024-10-30,Venezia vs Udinese,False,3.25,0.387,25.775000000000013,106.7726721489351,-106.7726721489351,2028.6807708297667,1028.6807708297672,1621.7766198585978,-593.0958490288306
2024-10-31,Como vs Lazio,False,3.3,0.387,27.70999999999999,101.43403854148835,-101.43403854148835,1927.2467322882785,927.2467322882788,1621.7766198585978,-694.5298875703189
2024-11-02,Bologna vs Lecce,False,3.5,0.387,35.45,96.36233661441393,-96.36233661441393,1830.8843956738647,830.8843956738649,1621.7766198585978,-790.8922241847329
2024-11-03,Verona vs Roma,False,3.5,0.387,35.45,91.54421978369324,-91.54421978369324,1739.3401758901714,739.3401758901716,1621.7766198585978,-882.4364439684261
2024-11-03,Napoli vs Atalanta,False,3.4,0.387,31.58000000000001,86.96700879450857,-86.96700879450857,1652.373167095663,652.373167095663,1621.7766198585978,-969.4034527629348
2024-11-03,Torino vs Fiorentina,False,3.3,0.387,27.70999999999999,82.61865835478315,-82.61865835478315,1569.7545087408798,569.7545087408798,1621.7766198585978,-1052.022111117718
2024-11-04,Parma vs Genoa,False,3.4,0.387,31.58000000000001,78.48772543704399,-78.48772543704399,1491.2667833038358,491.26678330383584,1621.7766198585978,-1130.509836554762
2024-11-07,Genoa vs Como,True,3.3,0.387,27.70999999999999,74.56333916519179,171.4956800799411,1662.762463383777,662.762463383777,1621.7766198585978,-959.0141564748208
